"id","street","lon","lat"
1,"Market Place",-0.139659600128528,51.5163438540504
2,"Adam and Eve Court",-0.137808101292906,51.5166395306608
3,"Berners Street",-0.135893243181541,51.5160763371173
4,"Newman Street",-0.134731656459573,51.5162664149382
5,"Marlborough Mews",-0.13963144045042,51.5148936306759
6,"Little Marlborough Street",-0.139504721898932,51.5138587625397
7,"Broad Street",-0.136604275053776,51.5133448484313
8,"Warwick Street",-0.138188256947368,51.5112751121589
9,"Bridle Street",-0.13587212342296,51.5115074294956
10,"Rupert Street",-0.133534870139969,51.5120847028777
11,"Dean Street",-0.131612972109077,51.5123381399723
12,"Tichborne Street",-0.133999504828757,51.5100572061211
13,"Vigo Street",-0.139518801737986,51.5101628049105
